name,year,population
Holy See,1965,"57,360"
Holy See,1960,"54,211"
Holy See,1955,"43,724"
Holy See,2020,"272,815"
Holy See,2019,"266,150"
Holy See,2020,"198,414"
Holy See,2019,"197,097"
Holy See,2018,"196,129"
Holy See,2017,"195,352"
Holy See,2016,"194,535"
Holy See,2020,"219,159"
Holy See,2019,"215,056"
Holy See,2018,"211,028"
Holy See,2000,"80,996"
Holy See,1995,"76,649"
Holy See,1990,"70,570"
Holy See,1995,"100,288"
Holy See,1990,"96,331"
Holy See,1985,"99,946"
Holy See,1980,"89,032"
Holy See,1975,"92,494"
Holy See,1990,"103,756"
Holy See,1985,"105,280"
Holy See,1980,"99,080"
Holy See,1975,"86,470"
Holy See,1990,"95,069"
Holy See,1985,"93,896"
Holy See,1980,"92,971"
Holy See,1975,"88,318"
Holy See,1995,"68,670"
Holy See,1990,"62,528"
Holy See,1985,"61,786"
Holy See,1980,"61,865"
Holy See,1975,"62,675"
Holy See,1970,"64,177"
Holy See,1955,"52,408"
Holy See,2000,"84,396"
Holy See,2005,"130,130"
Holy See,2000,"132,140"
Holy See,2005,"158,402"
Holy See,2018,"170,499"
Holy See,2017,"168,665"
Holy See,2016,"166,923"
Holy See,1995,"108,035"
Holy See,1990,"107,484"
Holy See,1985,"104,506"
Holy See,2018,"259,531"
Holy See,2017,"252,957"
Holy See,2016,"246,450"
Holy See,2015,"193,513"
Holy See,2010,"185,949"
Holy See,2005,"179,727"
Holy See,2017,"207,089"
Holy See,2016,"203,227"
Holy See,1985,"69,775"
Holy See,1980,"66,244"
Holy See,1970,"94,475"
Holy See,1970,"64,726"
Holy See,1965,"50,233"
Holy See,1970,"84,351"
Holy See,1965,"58,698"
Holy See,1960,"54,131"
Holy See,1995,"77,723"
Holy See,1990,"72,400"
Holy See,1985,"63,986"
Holy See,1995,"143,882"
Holy See,1990,"146,670"
Holy See,2000,"155,329"
Holy See,2020,"280,908"
Holy See,2015,"165,385"
Holy See,2010,"159,734"
Holy See,1980,"100,566"
Holy See,1975,"95,662"
Holy See,1970,"90,509"
Holy See,2020,"285,498"
Holy See,2020,"287,375"
Holy See,2020,"298,682"
Holy See,2015,"240,020"
Holy See,2010,"208,718"
Holy See,2005,"178,098"
Holy See,2000,"150,331"
Holy See,1995,"123,181"
Holy See,2000,"174,454"
Holy See,1995,"170,054"
Holy See,1990,"162,803"
Holy See,2015,"199,432"
Holy See,1975,"59,585"
Holy See,1970,"52,368"
Holy See,1965,"94,636"
Holy See,1960,"89,932"
Holy See,1955,"81,103"
Holy See,1960,"33,135"
Holy See,1955,"29,682"
Holy See,1965,"74,345"
Holy See,1955,"49,648"
Holy See,1980,"59,301"
Holy See,1975,"55,114"
Holy See,1970,"51,151"
Holy See,1965,"46,429"
Holy See,1960,"41,202"
Holy See,1985,"150,377"
Holy See,1995,"145,561"
Holy See,1990,"130,482"
Holy See,1985,"116,572"
Holy See,1980,"104,133"
Holy See,1975,"93,352"
Holy See,2019,"279,287"
Holy See,2018,"277,679"
Holy See,2017,"276,102"
Holy See,2016,"274,575"
Holy See,2015,"273,124"
Holy See,2005,"151,678"
Holy See,2000,"148,443"
Holy See,1995,"143,484"
Holy See,1990,"140,671"
Holy See,2020,"183,627"
Holy See,2019,"182,790"
Holy See,2018,"181,889"
Holy See,2020,"307,145"
Holy See,2019,"299,882"
Holy See,2018,"292,680"
Holy See,2017,"285,510"
Holy See,2016,"278,330"
Holy See,1965,"86,011"
Holy See,1960,"80,977"
Holy See,1955,"73,554"
Holy See,2020,"341,243"
Holy See,2019,"282,750"
Holy See,2018,"279,993"
Holy See,2017,"277,150"
Holy See,2016,"274,191"
Holy See,2015,"271,065"
Holy See,2010,"253,527"
Holy See,2005,"236,442"
Holy See,2020,"375,265"
Holy See,2019,"375,554"
Holy See,2018,"375,673"
Holy See,2017,"375,948"
Holy See,2019,"287,025"
Holy See,2018,"286,641"
Holy See,2017,"286,232"
Holy See,2016,"285,796"
Holy See,2015,"285,324"
Holy See,2019,"290,832"
Holy See,2018,"282,938"
Holy See,2017,"275,191"
Holy See,1990,"94,784"
Holy See,1985,"72,104"
Holy See,1980,"55,137"
Holy See,1985,"159,990"
Holy See,1980,"155,525"
Holy See,2010,"180,371"
Holy See,2005,"157,472"
Holy See,1965,"46,782"
Holy See,1960,"41,603"
Holy See,1955,"38,955"
Holy See,1960,"61,577"
Holy See,1955,"55,322"
Holy See,1955,"36,573"
Holy See,1980,"147,996"
Holy See,1975,"150,258"
Holy See,1970,"143,634"
Holy See,2020,"393,244"
Holy See,2019,"389,482"
Holy See,2020,"397,628"
Holy See,2019,"390,353"
Holy See,2018,"383,071"
Holy See,2017,"375,769"
Holy See,1970,"83,877"
Holy See,1965,"74,830"
Holy See,1960,"66,742"
Holy See,1955,"62,641"
Holy See,2010,"266,455"
Holy See,2005,"258,780"
Holy See,2000,"240,686"
Holy See,2020,"400,124"
Holy See,2019,"400,056"
Holy See,1985,"133,808"
Holy See,1980,"128,212"
Holy See,1975,"126,415"
Holy See,1970,"121,197"
Holy See,1965,"114,995"
Holy See,1960,"109,420"
Holy See,1955,"105,609"
Holy See,2017,"180,954"
Holy See,2016,"180,024"
Holy See,2015,"179,126"
Holy See,2010,"174,085"
Holy See,2005,"163,417"
Holy See,2020,"437,479"
Holy See,2019,"433,285"
Holy See,2018,"428,963"
Holy See,2017,"424,473"
Holy See,2016,"419,800"
Holy See,2015,"271,130"
Holy See,2010,"236,211"
Holy See,2005,"209,282"
Holy See,2000,"184,972"
Holy See,1995,"168,158"
Holy See,1990,"146,573"
Holy See,2019,"339,031"
Holy See,2018,"336,713"
Holy See,2017,"334,393"
Holy See,2016,"332,206"
Holy See,2015,"330,243"
Holy See,2010,"320,328"
Holy See,2000,"217,269"
Holy See,1995,"193,293"
Holy See,1990,"170,336"
Holy See,1985,"155,982"
Holy See,2016,"376,791"
Holy See,2015,"378,478"
Holy See,2010,"282,131"
Holy See,2005,"276,323"
Holy See,2000,"271,515"
Holy See,1995,"265,955"
Holy See,1990,"260,936"
Holy See,1985,"256,263"
Holy See,2016,"267,821"
Holy See,2015,"260,999"
Holy See,2010,"233,002"
Holy See,2005,"202,971"
Holy See,2000,"163,165"
Holy See,1995,"137,400"
Holy See,1975,"45,483"
Holy See,1970,"36,969"
Holy See,1965,"30,526"
Holy See,1960,"24,015"
Holy See,1955,"18,985"
Holy See,1975,"151,359"
Holy See,1970,"143,149"
Holy See,1965,"127,054"
Holy See,1960,"108,629"
Holy See,2000,"142,262"
Holy See,1995,"131,678"
Holy See,1990,"119,209"
Holy See,1985,"104,924"
Holy See,1980,"95,794"
Holy See,1965,"133,878"
Holy See,1960,"126,941"
Holy See,1955,"116,916"
Holy See,2018,"385,637"
Holy See,2017,"381,755"
Holy See,2016,"368,400"
Holy See,2015,"360,933"
Holy See,2010,"322,464"
Holy See,2005,"283,800"
Holy See,2000,"247,315"
Holy See,1995,"206,963"
Holy See,1990,"187,552"
Holy See,1995,"218,071"
Holy See,1990,"199,905"
Holy See,1985,"177,027"
Holy See,1980,"153,301"
Holy See,1975,"131,233"
Holy See,2018,"399,848"
Holy See,2017,"399,672"
Holy See,2016,"399,763"
Holy See,2015,"400,255"
Holy See,2010,"406,071"
Holy See,2005,"402,904"
Holy See,2000,"422,051"
Holy See,2020,"441,543"
Holy See,2019,"440,372"
Holy See,2018,"439,248"
Holy See,2000,"156,729"
Holy See,1995,"146,870"
Holy See,1990,"138,020"
Holy See,1985,"126,244"
Holy See,1980,"117,822"
Holy See,1975,"109,627"
Holy See,2015,"414,907"
Holy See,2010,"388,646"
Holy See,2005,"365,114"
Holy See,2000,"333,165"
Holy See,2020,"540,544"
Holy See,2019,"530,953"
Holy See,2018,"515,696"
Holy See,1985,"129,984"
Holy See,1980,"115,597"
Holy See,1975,"99,859"
Holy See,1970,"85,377"
Holy See,2020,"548,914"
Holy See,2019,"543,486"
Holy See,2018,"538,127"
Holy See,2017,"532,899"
Holy See,2016,"527,813"
Holy See,2020,"555,987"
Holy See,2019,"549,935"
Holy See,2018,"543,767"
Holy See,2017,"537,498"
Holy See,2005,"294,979"
Holy See,2000,"280,435"
Holy See,1995,"267,629"
Holy See,1980,"145,144"
Holy See,1975,"130,264"
Holy See,1970,"105,324"
Holy See,1965,"91,200"
Holy See,1960,"78,056"
Holy See,1955,"67,748"
Holy See,2010,"394,663"
Holy See,2005,"397,190"
Holy See,2000,"387,004"
Holy See,1995,"368,732"
Holy See,1990,"358,449"
Holy See,1985,"339,876"
Holy See,1980,"252,394"
Holy See,1975,"246,154"
Holy See,1990,"115,784"
Holy See,1985,"86,439"
Holy See,1980,"66,977"
Holy See,1975,"56,223"
Holy See,1970,"47,930"
Holy See,1965,"38,892"
Holy See,1960,"32,032"
Holy See,1955,"94,178"
Holy See,1975,"83,138"
Holy See,1970,"74,564"
Holy See,1965,"64,892"
Holy See,2016,"377,930"
Holy See,2015,"374,206"
Holy See,2010,"354,942"
Holy See,2005,"324,859"
Holy See,2000,"298,051"
Holy See,1985,"164,921"
Holy See,1970,"110,495"
Holy See,1995,"403,738"
Holy See,1990,"389,249"
Holy See,2020,"586,632"
Holy See,2020,"597,339"
Holy See,2017,"437,933"
Holy See,2016,"436,097"
Holy See,2015,"433,559"
Holy See,2010,"414,253"
Holy See,1970,"104,015"
Holy See,1965,"96,134"
Holy See,1960,"89,697"
Holy See,1955,"86,477"
Holy See,2020,"625,978"
Holy See,2019,"615,729"
Holy See,2018,"604,245"
Holy See,1995,"297,114"
Holy See,1990,"258,721"
Holy See,1985,"224,449"
Holy See,1980,"193,879"
Holy See,1975,"161,626"
Holy See,1970,"129,529"
Holy See,2017,"496,402"
Holy See,2016,"475,512"
Holy See,2015,"454,915"
Holy See,2010,"365,734"
Holy See,2005,"319,608"
Holy See,1965,"74,270"
Holy See,1960,"63,689"
Holy See,1955,"54,921"
Holy See,2015,"522,945"
Holy See,2010,"503,579"
Holy See,2005,"498,286"
Holy See,2000,"484,775"
Holy See,2016,"531,146"
Holy See,2015,"524,743"
Holy See,2010,"492,654"
Holy See,2005,"463,032"
Holy See,2000,"428,188"
Holy See,1995,"386,284"
Holy See,1990,"255,043"
Holy See,1985,"241,582"
Holy See,1980,"228,262"
Holy See,1980,"325,454"
Holy See,1975,"327,838"
Holy See,1970,"325,011"
Holy See,1970,"238,896"
Holy See,1965,"235,413"
Holy See,1960,"230,980"
Holy See,1955,"227,138"
Holy See,1955,"28,490"
Holy See,1960,"64,302"
Holy See,1955,"58,806"
Holy See,1995,"280,184"
Holy See,1990,"256,223"
Holy See,1980,"144,155"
Holy See,1975,"133,260"
Holy See,1970,"122,182"
Holy See,1965,"106,119"
Holy See,1965,"93,438"
Holy See,1960,"78,076"
Holy See,1955,"68,854"
Holy See,1985,"342,730"
Holy See,1980,"336,685"
Holy See,1975,"328,493"
Holy See,1970,"321,883"
Holy See,1965,"300,056"
Holy See,1960,"275,161"
Holy See,2020,"649,335"
Holy See,2019,"640,445"
Holy See,2018,"631,636"
Holy See,2019,"581,372"
Holy See,2018,"575,990"
Holy See,2017,"570,496"
Holy See,2020,"686,884"
Holy See,2019,"669,823"
Holy See,2019,"582,463"
Holy See,2018,"567,402"
Holy See,2017,"552,615"
Holy See,2016,"538,749"
Holy See,2015,"526,216"
Holy See,2005,"404,653"
Holy See,2000,"393,645"
Holy See,1995,"376,896"
Holy See,1990,"362,015"
Holy See,1985,"346,250"
Holy See,1980,"331,497"
Holy See,2020,"771,608"
Holy See,2020,"786,552"
Holy See,2019,"782,766"
Holy See,2020,"628,066"
Holy See,2019,"627,987"
Holy See,2018,"627,809"
Holy See,2017,"591,910"
Holy See,2016,"579,264"
Holy See,2015,"566,741"
Holy See,2010,"507,889"
Holy See,2005,"457,842"
Holy See,1965,"102,386"
Holy See,1960,"81,702"
Holy See,1955,"63,356"
Holy See,2000,"279,398"
Holy See,1995,"254,139"
Holy See,1995,"454,932"
Holy See,1990,"416,769"
Holy See,1985,"355,280"
Holy See,1980,"303,493"
Holy See,1975,"272,173"
Holy See,1970,"248,197"
Holy See,1965,"218,651"
Holy See,1990,"337,950"
Holy See,1985,"311,678"
Holy See,1980,"283,847"
Holy See,1975,"270,247"
Holy See,1970,"268,627"
Holy See,1965,"230,418"
Holy See,1975,"218,070"
Holy See,1970,"204,426"
Holy See,1965,"192,313"
Holy See,1960,"175,592"
Holy See,1955,"157,642"
Holy See,1965,"311,127"
Holy See,1960,"281,622"
Holy See,1955,"245,675"
Holy See,1985,"234,578"
Holy See,1980,"210,591"
Holy See,1975,"188,896"
Holy See,1970,"169,377"
Holy See,1965,"140,059"
Holy See,2020,"869,601"
Holy See,2019,"850,886"
Holy See,1960,"92,064"
Holy See,1955,"79,870"
Holy See,2020,"895,312"
Holy See,2020,"896,445"
Holy See,2019,"889,953"
Holy See,2018,"883,483"
Holy See,1955,"236,064"
Holy See,2017,"622,585"
Holy See,2016,"612,836"
Holy See,2015,"602,085"
Holy See,2016,"564,888"
Holy See,2015,"559,143"
Holy See,2010,"529,131"
Holy See,2005,"499,464"
Holy See,2018,"652,857"
Holy See,2017,"636,039"
Holy See,2016,"619,438"
Holy See,2010,"480,274"
Holy See,2005,"437,515"
Holy See,2000,"314,118"
Holy See,1995,"255,634"
Holy See,1975,"322,356"
Holy See,1970,"320,545"
Holy See,1965,"322,242"
Holy See,1960,"312,973"
Holy See,2019,"763,092"
Holy See,2018,"754,388"
Holy See,2017,"745,563"
Holy See,2016,"736,708"
Holy See,2015,"727,876"
Holy See,2010,"685,503"
Holy See,2018,"779,006"
Holy See,2017,"775,222"
Holy See,2016,"771,368"
Holy See,2015,"767,432"
Holy See,2010,"749,436"
Holy See,2005,"746,163"
Holy See,2000,"746,715"
Holy See,2017,"627,563"
Holy See,2016,"627,264"
Holy See,2015,"626,956"
Holy See,2010,"624,275"
Holy See,2005,"616,391"
Holy See,2000,"613,559"
Holy See,2000,"436,103"
Holy See,1995,"408,149"
Holy See,1990,"381,791"
Holy See,1985,"366,884"
Holy See,1980,"364,038"
Holy See,1975,"353,983"
Holy See,1970,"339,668"
Holy See,1965,"330,161"
Holy See,1990,"223,158"
Holy See,1985,"189,537"
Holy See,1980,"158,272"
Holy See,1975,"136,417"
Holy See,1960,"191,245"
Holy See,1955,"171,107"
Holy See,1960,"201,765"
Holy See,1955,"197,195"
Holy See,1960,"109,534"
Holy See,1955,"88,631"
Holy See,2018,"832,322"
Holy See,2017,"813,892"
Holy See,2016,"795,592"
Holy See,2015,"777,424"
Holy See,2019,"888,927"
Holy See,2018,"882,526"
Holy See,2017,"876,134"
Holy See,2016,"869,743"
Holy See,2015,"863,363"
Holy See,2010,"830,519"
Holy See,2017,"877,459"
Holy See,2016,"872,399"
Holy See,2015,"868,627"
Holy See,2010,"859,818"
Holy See,2005,"821,604"
Holy See,2000,"811,006"
Holy See,1995,"775,425"
Holy See,2010,"538,219"
Holy See,2005,"482,858"
Holy See,2000,"427,782"
Holy See,1995,"385,513"
Holy See,1990,"343,808"
Holy See,2000,"470,949"
Holy See,1995,"441,851"
Holy See,1990,"405,168"
Holy See,2020,"988,000"
Holy See,2019,"973,560"
Holy See,2020,"1,160,164"
Holy See,2019,"1,148,130"
Holy See,2018,"1,136,281"
Holy See,2017,"1,124,805"
Holy See,2015,"603,118"
Holy See,2010,"527,861"
Holy See,2005,"469,918"
Holy See,2000,"412,660"
Holy See,1995,"359,281"
Holy See,2020,"1,207,359"
Holy See,1990,"217,258"
Holy See,2020,"1,318,445"
Holy See,2019,"1,293,119"
Holy See,1955,"313,526"
Holy See,2005,"648,739"
Holy See,2000,"591,021"
Holy See,1995,"761,291"
Holy See,1990,"743,309"
Holy See,1985,"770,435"
Holy See,1995,"620,418"
Holy See,1990,"615,002"
Holy See,1985,"614,016"
Holy See,1960,"314,588"
Holy See,1955,"305,261"
Holy See,1970,"115,691"
Holy See,1965,"102,718"
Holy See,1960,"89,863"
Holy See,2010,"689,692"
Holy See,2005,"611,627"
Holy See,2005,"791,598"
Holy See,2000,"736,710"
Holy See,1995,"673,541"
Holy See,1990,"728,573"
Holy See,1985,"711,775"
Holy See,1980,"635,307"
Holy See,1975,"576,626"
Holy See,1970,"520,562"
Holy See,1985,"283,503"
Holy See,1980,"238,071"
Holy See,1975,"241,628"
Holy See,1970,"246,194"
Holy See,1965,"203,228"
Holy See,1960,"167,791"
Holy See,2020,"1,326,535"
Holy See,2019,"1,325,648"
Holy See,2018,"1,322,920"
Holy See,1985,"368,638"
Holy See,1980,"359,519"
Holy See,1975,"359,226"
Holy See,1970,"367,931"
Holy See,1965,"328,936"
Holy See,2020,"1,399,488"
Holy See,2019,"1,394,973"
Holy See,2018,"1,389,843"
Holy See,2018,"958,923"
Holy See,2017,"944,099"
Holy See,2016,"1,113,997"
Holy See,2015,"1,104,044"
Holy See,2010,"1,064,837"
Holy See,2005,"1,030,579"
Holy See,2000,"1,005,435"
Holy See,1995,"926,841"
Holy See,1990,"311,866"
Holy See,1985,"270,788"
Holy See,1980,"230,546"
Holy See,1975,"193,402"
Holy See,1970,"160,250"
Holy See,1965,"136,816"
Holy See,2019,"1,198,575"
Holy See,2018,"1,189,265"
Holy See,2017,"1,179,678"
Holy See,1985,"182,421"
Holy See,2018,"1,267,974"
Holy See,2017,"1,243,258"
Holy See,2016,"1,219,288"
Holy See,1995,"534,620"
Holy See,1990,"530,804"
Holy See,1985,"464,266"
Holy See,1980,"780,153"
Holy See,1975,"745,841"
Holy See,1970,"704,934"
Holy See,1965,"651,868"
Holy See,1960,"571,819"
Holy See,1980,"580,754"
Holy See,1975,"554,262"
Holy See,1955,"79,703"
Holy See,2000,"542,357"
Holy See,1995,"475,394"
Holy See,1990,"411,594"
Holy See,1985,"355,337"
Holy See,1990,"610,582"
Holy See,1985,"558,699"
Holy See,1980,"509,265"
Holy See,1975,"484,777"
Holy See,1970,"462,025"
Holy See,1965,"390,775"
Holy See,1965,"463,968"
Holy See,1960,"393,481"
Holy See,1955,"335,098"
Holy See,1955,"189,460"
Holy See,2020,"1,701,575"
Holy See,2019,"1,641,172"
Holy See,2018,"1,569,446"
Holy See,2017,"1,319,390"
Holy See,2016,"1,316,510"
Holy See,2015,"1,315,325"
Holy See,2010,"1,332,101"
Holy See,2005,"1,355,648"
Holy See,2020,"1,886,198"
Holy See,2019,"1,906,743"
Holy See,1960,"287,871"
Holy See,1955,"249,000"
Holy See,2020,"1,271,768"
Holy See,2017,"1,384,059"
Holy See,2016,"1,377,560"
Holy See,2015,"1,370,328"
Holy See,2010,"1,328,147"
Holy See,2005,"1,296,502"
Holy See,2020,"1,402,985"
Holy See,2019,"1,355,986"
Holy See,2020,"2,078,938"
Holy See,2019,"2,078,654"
Holy See,2018,"2,077,837"
Holy See,2016,"929,112"
Holy See,2015,"913,993"
Holy See,2010,"840,198"
Holy See,2005,"783,254"
Holy See,1990,"822,420"
Holy See,1985,"699,080"
Holy See,1960,"117,849"
Holy See,1955,"102,002"
Holy See,2016,"1,170,187"
Holy See,2015,"1,160,985"
Holy See,2010,"1,112,612"
Holy See,1980,"150,877"
Holy See,1975,"74,954"
Holy See,1970,"76,874"
Holy See,1965,"50,970"
Holy See,1960,"32,761"
Holy See,1955,"21,147"
Holy See,2015,"1,196,302"
Holy See,2010,"1,093,523"
Holy See,2005,"995,135"
Holy See,2000,"884,366"
Holy See,1995,"844,334"
Holy See,1990,"737,814"
Holy See,1980,"406,875"
Holy See,1975,"348,396"
Holy See,1955,"482,555"
Holy See,1970,"519,696"
Holy See,1965,"533,814"
Holy See,1960,"487,413"
Holy See,1980,"307,829"
Holy See,1975,"257,290"
Holy See,1970,"230,054"
Holy See,1965,"207,424"
Holy See,1960,"191,121"
Holy See,1960,"335,693"
Holy See,1955,"291,658"
Holy See,2017,"1,494,076"
Holy See,2016,"1,425,792"
Holy See,2015,"1,371,851"
Holy See,2000,"1,399,112"
Holy See,1995,"1,433,024"
Holy See,1990,"1,565,246"
Holy See,1985,"1,522,400"
Holy See,1980,"1,474,439"
Holy See,2018,"1,928,459"
Holy See,2017,"1,951,097"
Holy See,2016,"1,974,266"
Holy See,2015,"1,997,674"
Holy See,2010,"2,118,861"
Holy See,2020,"2,083,374"
Holy See,2019,"2,083,459"
Holy See,2018,"2,082,957"
Holy See,2017,"2,081,996"
Holy See,2016,"2,080,743"
Holy See,2019,"1,269,668"
Holy See,2018,"1,267,185"
Holy See,2017,"1,264,499"
Holy See,2016,"1,261,865"
Holy See,2020,"1,968,001"
Holy See,2019,"1,920,922"
Holy See,2018,"1,874,303"
Holy See,2017,"1,828,145"
Holy See,2000,"1,267,153"
Holy See,1995,"1,254,200"
Holy See,1990,"1,221,116"
Holy See,2020,"2,142,249"
Holy See,2019,"2,125,268"
Holy See,2018,"2,108,328"
Holy See,2017,"2,091,534"
Holy See,2018,"1,308,975"
Holy See,2017,"1,262,002"
Holy See,2016,"1,215,180"
Holy See,2015,"1,168,568"
Holy See,2010,"943,639"
Holy See,2017,"2,076,394"
Holy See,2016,"2,074,210"
Holy See,2015,"2,071,199"
Holy See,2000,"717,584"
Holy See,1995,"630,388"
Holy See,1990,"590,398"
Holy See,1985,"425,613"
Holy See,1980,"358,960"
Holy See,1980,"587,858"
Holy See,1975,"499,763"
Holy See,1970,"431,253"
Holy See,1965,"373,919"
Holy See,1960,"336,583"
Holy See,2005,"1,027,662"
Holy See,2000,"943,290"
Holy See,1995,"855,383"
Holy See,1990,"766,615"
Holy See,1985,"703,685"
Holy See,1980,"685,405"
Holy See,1975,"649,751"
Holy See,1985,"657,053"
Holy See,1980,"599,905"
Holy See,1975,"629,227"
Holy See,1970,"571,565"
Holy See,1965,"519,686"
Holy See,1960,"474,532"
Holy See,1970,"297,316"
Holy See,1965,"253,994"
Holy See,1960,"223,288"
Holy See,1955,"197,457"
Holy See,1955,"443,795"
Holy See,1955,"175,903"
Holy See,2010,"1,240,860"
Holy See,2005,"889,164"
Holy See,2000,"664,611"
Holy See,1975,"1,422,043"
Holy See,1970,"1,360,202"
Holy See,1965,"1,290,396"
Holy See,2005,"2,251,993"
Holy See,2020,"2,225,734"
Holy See,2015,"2,079,328"
Holy See,2020,"2,540,905"
Holy See,2020,"2,351,627"
Holy See,2015,"1,259,456"
Holy See,2010,"1,247,955"
Holy See,2005,"1,222,003"
Holy See,2000,"1,185,145"
Holy See,1995,"1,128,673"
Holy See,2016,"1,782,438"
Holy See,2015,"1,737,202"
Holy See,2010,"1,522,599"
Holy See,2005,"1,344,930"
Holy See,2000,"1,201,301"
Holy See,1995,"1,088,854"
Holy See,1985,"1,170,285"
Holy See,1980,"1,084,744"
Holy See,1975,"1,010,936"
Holy See,1970,"945,360"
Holy See,1965,"911,737"
Holy See,1960,"847,979"
Holy See,2016,"2,075,030"
Holy See,2015,"2,059,021"
Holy See,2010,"1,995,581"
Holy See,2005,"1,996,114"
Holy See,2005,"749,535"
Holy See,2000,"606,181"
Holy See,1995,"496,768"
Holy See,1990,"419,188"
Holy See,2010,"2,043,337"
Holy See,2005,"1,994,976"
Holy See,2000,"1,987,717"
Holy See,1995,"1,991,131"
Holy See,1990,"2,006,405"
Holy See,1985,"1,945,130"
Holy See,1975,"224,183"
Holy See,1970,"159,659"
Holy See,1965,"114,963"
Holy See,1960,"83,636"
Holy See,1955,"69,589"
Holy See,1955,"303,028"
Holy See,1970,"613,618"
Holy See,1965,"580,966"
Holy See,1960,"572,930"
Holy See,1955,"529,972"
Holy See,1955,"439,223"
Holy See,1995,"563,697"
Holy See,1960,"1,216,819"
Holy See,1955,"1,159,231"
Holy See,2000,"2,384,164"
Holy See,1995,"2,508,480"
Holy See,1990,"2,664,439"
Holy See,1985,"2,580,758"
Holy See,2019,"2,172,579"
Holy See,2018,"2,119,275"
Holy See,2017,"2,064,823"
Holy See,2016,"2,007,873"
Holy See,2015,"1,947,686"
Holy See,2010,"2,070,741"
Holy See,2005,"2,060,273"
Holy See,2000,"2,034,819"
Holy See,1995,"1,983,252"
Holy See,1990,"1,996,228"
Holy See,1985,"1,981,534"
Holy See,1980,"1,924,197"
Holy See,2020,"2,860,853"
Holy See,2019,"2,933,408"
Holy See,2018,"3,039,596"
Holy See,2017,"3,163,667"
Holy See,2019,"2,494,530"
Holy See,2018,"2,448,301"
Holy See,2017,"2,402,633"
Holy See,2016,"2,358,044"
Holy See,2015,"2,314,904"
Holy See,2010,"2,118,874"
Holy See,2019,"2,303,697"
Holy See,2018,"2,254,068"
Holy See,2017,"2,205,080"
Holy See,2020,"2,877,797"
Holy See,2019,"2,880,917"
Holy See,1990,"1,055,868"
Holy See,1985,"1,015,762"
Holy See,1980,"966,031"
Holy See,1975,"892,211"
Holy See,1970,"826,441"
Holy See,2020,"2,881,053"
Holy See,2019,"2,832,067"
Holy See,2018,"2,781,682"
Holy See,2017,"2,724,728"
Holy See,2020,"2,722,289"
Holy See,2019,"2,759,627"
Holy See,2018,"2,801,264"
Holy See,2017,"2,845,414"
Holy See,2016,"2,889,557"
Holy See,1990,"975,261"
Holy See,1985,"872,163"
Holy See,1980,"781,677"
Holy See,1975,"765,989"
Holy See,1970,"704,939"
Holy See,1965,"649,790"
Holy See,1955,"739,709"
Holy See,2000,"2,032,804"
Holy See,1995,"1,898,598"
Holy See,1990,"1,703,747"
Holy See,1985,"1,526,131"
Holy See,1980,"1,340,255"
Holy See,1975,"1,160,792"
Holy See,1970,"1,028,926"
Holy See,1985,"352,118"
Holy See,1980,"249,929"
Holy See,1975,"255,800"
Holy See,1970,"303,982"
Holy See,1965,"276,300"
Holy See,1960,"255,333"
Holy See,1980,"1,835,831"
Holy See,1975,"1,742,623"
Holy See,1970,"1,669,581"
Holy See,1965,"1,629,433"
Holy See,1960,"1,586,637"
Holy See,1990,"495,931"
Holy See,1985,"419,428"
Holy See,1980,"359,888"
Holy See,1975,"266,543"
Holy See,1980,"2,521,391"
Holy See,1975,"2,469,444"
Holy See,1970,"2,378,021"
Holy See,1965,"2,266,943"
Holy See,1960,"2,129,586"
Holy See,2020,"2,961,167"
Holy See,2019,"2,948,279"
Holy See,2018,"2,934,847"
Holy See,2020,"2,963,243"
Holy See,2010,"1,624,140"
Holy See,2005,"1,390,549"
Holy See,2000,"1,228,360"
Holy See,1995,"1,084,946"
Holy See,1990,"949,488"
Holy See,1975,"1,803,010"
Holy See,1970,"1,720,800"
Holy See,1965,"1,592,433"
Holy See,1960,"1,488,667"
Holy See,1955,"1,392,449"
Holy See,2016,"3,283,125"
Holy See,2015,"3,381,518"
Holy See,2010,"3,579,841"
Holy See,2005,"3,631,889"
Holy See,2000,"3,668,960"
Holy See,1995,"3,567,696"
Holy See,2005,"1,938,320"
Holy See,2000,"1,794,571"
Holy See,1995,"1,627,865"
Holy See,1990,"1,432,905"
Holy See,1985,"1,198,148"
Holy See,1980,"1,057,727"
Holy See,1975,"947,921"
Holy See,2016,"2,159,927"
Holy See,2015,"2,120,716"
Holy See,2010,"1,987,105"
Holy See,2005,"1,799,078"
Holy See,2018,"2,882,740"
Holy See,2017,"2,884,169"
Holy See,2016,"2,886,438"
Holy See,2015,"2,890,513"
Holy See,2010,"2,948,023"
Holy See,2005,"3,086,810"
Holy See,1965,"753,285"
Holy See,1960,"660,023"
Holy See,1955,"570,648"
Holy See,2016,"2,654,374"
Holy See,2015,"2,565,710"
Holy See,2010,"1,856,327"
Holy See,2005,"865,416"
Holy See,2015,"2,931,880"
Holy See,2010,"3,123,816"
Holy See,2005,"3,344,268"
Holy See,2000,"3,501,839"
Holy See,1995,"3,626,612"
Holy See,1960,"616,136"
Holy See,1955,"576,136"
Holy See,1965,"922,306"
Holy See,1960,"837,270"
Holy See,1955,"766,763"
Holy See,1955,"239,873"
Holy See,1955,"1,527,205"
Holy See,1970,"212,605"
