name,year,population
Holy See,2010,"67,195,028"
Holy See,2005,"65,416,189"
Holy See,2000,"62,952,642"
Holy See,2015,"127,985,133"
Holy See,2010,"128,542,353"
Holy See,2005,"128,326,116"
Holy See,2000,"127,524,174"
Holy See,1995,"126,365,484"
Holy See,2005,"106,005,203"
Holy See,2000,"98,899,845"
Holy See,1995,"91,663,285"
Holy See,1990,"83,943,132"
Holy See,1985,"75,983,485"
Holy See,1980,"67,761,372"
Holy See,1975,"59,607,953"
Holy See,1970,"51,493,565"
Holy See,1965,"37,858,951"
Holy See,1960,"32,670,039"
Holy See,1955,"28,147,443"
Holy See,1995,"62,334,034"
Holy See,1990,"56,134,475"
Holy See,1985,"49,258,732"
Holy See,1980,"43,309,063"
Holy See,2015,"102,113,212"
Holy See,2010,"93,966,780"
Holy See,2005,"86,326,250"
Holy See,2000,"77,991,755"
Holy See,1995,"69,784,088"
Holy See,1990,"61,895,160"
Holy See,1985,"54,275,822"
Holy See,2015,"100,835,458"
Holy See,2010,"87,639,964"
Holy See,2005,"76,346,311"
Holy See,2000,"66,224,804"
Holy See,1995,"57,047,908"
Holy See,1990,"47,887,865"
Holy See,1985,"40,652,141"
Holy See,2018,"67,141,684"
Holy See,2017,"66,727,461"
Holy See,2016,"66,297,944"
Holy See,2015,"65,860,146"
Holy See,2010,"63,459,808"
Holy See,2005,"60,287,954"
Holy See,1995,"59,467,274"
Holy See,1990,"56,558,186"
Holy See,1985,"52,026,901"
Holy See,1980,"47,374,472"
Holy See,1975,"42,326,312"
Holy See,1990,"124,505,240"
Holy See,1965,"44,123,853"
Holy See,1975,"38,549,142"
Holy See,1970,"34,513,850"
Holy See,1980,"47,357,743"
Holy See,2019,"1,340"
Holy See,2018,"1,319"
Holy See,2017,"1,300"
Holy See,2016,"1,282"
Holy See,1980,"35,141,712"
Holy See,1975,"32,566,854"
Holy See,1970,"28,415,077"
Holy See,1965,"25,013,626"
Holy See,2000,"58,923,309"
Holy See,1995,"57,932,453"
Holy See,1970,"36,884,536"
Holy See,1965,"31,822,660"
Holy See,1960,"27,397,207"
Holy See,1955,"23,711,132"
Holy See,1985,"121,883,482"
Holy See,1980,"117,816,940"
Holy See,1975,"112,413,359"
Holy See,1970,"104,929,251"
Holy See,1965,"98,447,002"
Holy See,1960,"37,771,859"
Holy See,1955,"32,350,596"
Holy See,2019,"1,615"
Holy See,2018,"1,620"
Holy See,1965,"30,433,022"
Holy See,1960,"26,632,894"
Holy See,1955,"23,223,124"
Holy See,2019,"4,989"
Holy See,1975,"41,285,742"
Holy See,1970,"35,803,594"
Holy See,1965,"30,909,988"
Holy See,1960,"26,269,734"
Holy See,1955,"22,177,058"
Holy See,2019,"5,822"
Holy See,2018,"5,849"
Holy See,2017,"5,887"
Holy See,2016,"5,934"
Holy See,2015,"1,252"
Holy See,2010,"1,140"
Holy See,2005,"1,208"
Holy See,2000,"1,554"
Holy See,1960,"22,151,278"
Holy See,1955,"19,947,292"
Holy See,2019,"6,059"
Holy See,2018,"6,035"
Holy See,2017,"6,008"
Holy See,2019,"9,847"
Holy See,2018,"9,816"
Holy See,2017,"9,784"
Holy See,2016,"9,748"
Holy See,2015,"9,693"
Holy See,1990,"57,134,391"
Holy See,1985,"56,413,553"
Holy See,1980,"56,209,171"
Holy See,1975,"56,152,333"
Holy See,1970,"55,573,453"
Holy See,1965,"54,240,850"
Holy See,1960,"52,370,602"
Holy See,2019,"3,377"
Holy See,2018,"3,234"
Holy See,2017,"3,068"
Holy See,2016,"2,928"
Holy See,2015,"2,834"
Holy See,2019,799
Holy See,2018,801
Holy See,1960,"93,673,615"
Holy See,1955,"89,018,257"
Holy See,2017,"1,609"
Holy See,2016,"1,614"
Holy See,2015,"1,619"
Holy See,2018,"4,993"
Holy See,2017,"4,984"
Holy See,2016,"4,981"
Holy See,2015,"4,967"
Holy See,2010,"4,899"
Holy See,2005,"4,835"
Holy See,2015,"5,993"
Holy See,2010,"6,353"
Holy See,2005,"6,123"
Holy See,2000,"6,294"
Holy See,1995,"6,392"
Holy See,1990,"6,393"
Holy See,1985,"6,024"
Holy See,1980,"6,131"
Holy See,1995,"1,517"
Holy See,1990,"1,608"
Holy See,1985,"1,709"
Holy See,1980,"1,553"
Holy See,1975,"1,572"
Holy See,1970,"1,621"
Holy See,1965,"1,922"
Holy See,2016,"5,956"
Holy See,2015,"5,865"
Holy See,2010,"5,183"
Holy See,2005,"5,364"
Holy See,2000,"6,049"
Holy See,1995,"6,247"
Holy See,1990,"6,647"
Holy See,1985,"6,817"
Holy See,2010,"9,234"
Holy See,2005,"8,553"
Holy See,2000,"7,427"
Holy See,1995,"6,367"
Holy See,1990,"5,339"
Holy See,1985,"3,368"
Holy See,1955,"51,063,902"
Holy See,2010,"2,901"
Holy See,2005,"2,935"
Holy See,2000,"2,892"
Holy See,1995,"2,490"
Holy See,1990,"1,982"
Holy See,1985,"1,850"
Holy See,1980,"1,854"
Holy See,2017,793
Holy See,2016,801
Holy See,2015,803
Holy See,2010,794
Holy See,2005,798
Holy See,2010,"1,618"
Holy See,2005,"1,683"
Holy See,2000,"1,899"
Holy See,1995,"2,165"
Holy See,1990,"2,329"
Holy See,2000,"4,929"
Holy See,1995,"9,848"
Holy See,1990,"10,615"
Holy See,1985,"10,792"
Holy See,1980,"11,607"
Holy See,1975,"11,580"
Holy See,1975,"6,006"
Holy See,1970,"5,552"
Holy See,1965,"5,173"
Holy See,1960,"4,971"
Holy See,1955,"4,755"
Holy See,1960,"1,873"
Holy See,1955,"1,607"
Holy See,2019,"10,756"
Holy See,2018,"10,670"
Holy See,2017,"10,573"
Holy See,2016,"10,475"
Holy See,2015,"10,383"
Holy See,1980,"6,582"
Holy See,1975,"6,235"
Holy See,1970,"5,692"
Holy See,1965,"5,328"
Holy See,1960,"5,364"
Holy See,1955,"5,345"
Holy See,1980,"3,082"
Holy See,1975,"2,610"
Holy See,1970,"2,343"
Holy See,1965,"2,382"
Holy See,1960,"2,304"
Holy See,1955,"2,245"
Holy See,1975,"1,903"
Holy See,1970,"1,992"
Holy See,1965,"2,078"
Holy See,2000,785
Holy See,1995,780
Holy See,1990,768
Holy See,1985,746
Holy See,1980,724
Holy See,1975,728
Holy See,1985,"2,719"
Holy See,1980,"3,404"
Holy See,1975,"3,976"
Holy See,1970,"5,135"
Holy See,1970,"11,534"
Holy See,2019,"11,432"
Holy See,2019,"14,869"
Holy See,2018,"14,731"
Holy See,2019,"17,548"
Holy See,2010,"10,005"
Holy See,2019,"18,008"
Holy See,2019,"11,646"
Holy See,1960,"2,150"
Holy See,1955,"2,204"
Holy See,1970,644
Holy See,1965,854
Holy See,1960,906
Holy See,1955,908
Holy See,1965,"5,098"
Holy See,1960,"4,826"
Holy See,1955,"4,694"
Holy See,1965,"11,726"
Holy See,1960,"11,957"
Holy See,1955,"14,233"
Holy See,2018,"11,661"
Holy See,2017,"11,900"
Holy See,2016,"12,107"
Holy See,2015,"12,266"
Holy See,2010,"12,689"
Holy See,2017,"14,584"
Holy See,2016,"14,429"
Holy See,2015,"14,279"
Holy See,2018,"17,518"
Holy See,2017,"17,507"
Holy See,2016,"17,524"
Holy See,2015,"17,586"
Holy See,2010,"18,391"
Holy See,2019,"25,979"
Holy See,2018,"25,711"
Holy See,2017,"25,401"
Holy See,2005,"9,849"
Holy See,2000,"10,337"
Holy See,2019,"30,030"
Holy See,2018,"29,802"
Holy See,2017,"29,577"
Holy See,2018,"17,907"
Holy See,2017,"17,808"
Holy See,2016,"17,725"
Holy See,2015,"17,665"
Holy See,2010,"17,955"
Holy See,2018,"11,508"
Holy See,2017,"11,370"
Holy See,2016,"11,225"
Holy See,2019,"33,701"
Holy See,2018,"33,718"
Holy See,2017,"33,728"
Holy See,2005,"14,939"
Holy See,2000,"14,694"
Holy See,1995,"14,149"
Holy See,1990,"13,800"
Holy See,1985,"13,622"
Holy See,2010,"13,438"
Holy See,2005,"12,453"
Holy See,2000,"11,252"
Holy See,1995,"9,866"
Holy See,2005,"19,074"
Holy See,2000,"17,930"
Holy See,2016,"25,020"
Holy See,2015,"24,570"
Holy See,2010,"20,940"
Holy See,2005,"14,403"
Holy See,1995,"10,628"
Holy See,1990,"9,505"
Holy See,1985,"8,501"
Holy See,1980,"7,741"
Holy See,1975,"7,175"
Holy See,2016,"29,355"
Holy See,2015,"29,152"
Holy See,2010,"27,794"
Holy See,2005,"23,107"
Holy See,2000,"20,311"
Holy See,1995,"19,313"
Holy See,2005,"19,781"
Holy See,2000,"19,105"
Holy See,1995,"17,164"
Holy See,1990,"15,058"
Holy See,1985,"13,528"
Holy See,2015,"11,099"
Holy See,2010,"10,530"
Holy See,2005,"10,000"
Holy See,2000,"9,394"
Holy See,1995,"9,298"
Holy See,2016,"33,737"
Holy See,2015,"33,736"
Holy See,1980,"11,231"
Holy See,1975,"9,320"
Holy See,2019,"33,860"
Holy See,1990,"8,899"
Holy See,1985,"7,293"
Holy See,2019,"38,964"
Holy See,2018,"38,682"
Holy See,2017,"38,392"
Holy See,1995,"19,097"
Holy See,1990,"18,191"
Holy See,1985,"17,603"
Holy See,2019,"38,019"
Holy See,2019,"38,002"
Holy See,2018,"37,264"
Holy See,2017,"36,560"
Holy See,2000,"14,393"
Holy See,1995,"15,107"
Holy See,1990,"13,019"
Holy See,2019,"38,191"
Holy See,2018,"37,665"
Holy See,2017,"37,115"
Holy See,1970,"6,552"
Holy See,1965,"5,856"
Holy See,1960,"4,375"
Holy See,1955,"3,819"
Holy See,1990,"17,489"
Holy See,1985,"13,956"
Holy See,1980,"11,478"
Holy See,1975,"10,699"
Holy See,1980,"12,179"
Holy See,1975,"12,904"
Holy See,1970,"11,811"
Holy See,1965,"11,003"
Holy See,1990,"8,913"
Holy See,1985,"8,219"
Holy See,1980,"7,637"
Holy See,1975,"6,060"
Holy See,1970,"5,735"
Holy See,2010,"33,585"
Holy See,2005,"33,219"
Holy See,1970,"8,853"
Holy See,1965,"8,724"
Holy See,2018,"33,785"
Holy See,2017,"33,671"
Holy See,1980,"7,285"
Holy See,1975,"7,159"
Holy See,1970,"6,771"
Holy See,1965,"6,361"
Holy See,1960,"6,032"
Holy See,2016,"38,070"
Holy See,2015,"37,718"
Holy See,2010,"35,612"
Holy See,2005,"33,843"
Holy See,2000,"32,147"
Holy See,1980,"17,512"
Holy See,2018,"37,910"
Holy See,2017,"37,800"
Holy See,2016,"37,658"
Holy See,2015,"37,470"
Holy See,2016,"36,065"
Holy See,2015,"35,858"
Holy See,2010,"37,582"
Holy See,1985,"12,025"
Holy See,1980,"11,210"
Holy See,1975,"11,027"
Holy See,2019,"42,388"
Holy See,2018,"41,940"
Holy See,2017,"41,444"
Holy See,2016,"36,559"
Holy See,2015,"35,981"
Holy See,2010,"32,660"
Holy See,2005,"28,180"
Holy See,2019,"48,678"
Holy See,2018,"48,497"
Holy See,1970,"9,827"
Holy See,1965,"8,830"
Holy See,1960,"8,048"
Holy See,1955,"7,679"
Holy See,1960,"9,771"
Holy See,1955,"8,322"
Holy See,1965,"5,386"
Holy See,2000,"31,077"
Holy See,1995,"28,692"
Holy See,1990,"29,147"
